Coefficient Of Thermal Expansion (1/K),Coefficient Of Thermal Expansion (1/K)
5,4.127789999051976,0.82% Silicon carbide/Nylon 6
14,6.556554445774864,0.82% Silicon carbide/Nylon 6
15,13.40667423514818,0.82% Silicon carbide/Nylon 6
16,7.089970617292891,0.82% Silicon carbide/Nylon 6
19,4.428882035481863,0.82% Silicon carbide/Nylon 6
5,0.048777324695139956,0.89% Silicon carbide/Nylon 6
14,-1.7254502891603387,0.89% Silicon carbide/Nylon 6
15,2.39578438721729,0.89% Silicon carbide/Nylon 6
16,1.5957530867364227,0.89% Silicon carbide/Nylon 6
19,5.395455659937202,0.89% Silicon carbide/Nylon 6
