Electron Beam Dose (Gy),Conductivity (S/m)
1.6756023070234871,6.064394349655453,0.59% Ba0.7Sr0.3TiO3
5.92407560971254,5.7781091494916295,0.59% Ba0.7Sr0.3TiO3
8.468889810448179,5.6869913586783785,0.59% Ba0.7Sr0.3TiO3
11.943765993350656,5.644800293145257,0.59% Ba0.7Sr0.3TiO3
12.827947863779325,5.635858044402521,0.59% Ba0.7Sr0.3TiO3
1.6756023070234871,-4.104252824021469,0.18% Ba0.7Sr0.3TiO3
5.92407560971254,1.7780396684651345,0.18% Ba0.7Sr0.3TiO3
8.468889810448179,8.144725383101969,0.18% Ba0.7Sr0.3TiO3
11.943765993350656,52.77282650973671,0.18% Ba0.7Sr0.3TiO3
12.827947863779325,25.147407039685646,0.18% Ba0.7Sr0.3TiO3
