Volume Fraction (%),Zeta Potential (mV)
0.2871254118592792,1.6724408343228083,Silver nitrate/aPP
3.122456990624287,2.1777798744881047,Silver nitrate/aPP
18.351918040821957,144.5203309469753,Silver nitrate/aPP
0.2871254118592792,3.052978876750477,Lead(II) sulfide/aPP
3.122456990624287,2.2916465241666497,Lead(II) sulfide/aPP
18.351918040821957,1.764066270921824,Lead(II) sulfide/aPP
0.2871254118592792,5.195920180684479,Multi-wall carbon nanotubes/aPP
3.122456990624287,4.866039516754476,Multi-wall carbon nanotubes/aPP
18.351918040821957,4.344391909600234,Multi-wall carbon nanotubes/aPP
0.2871254118592792,-5.761345987683252,graphitic nanoplatelets/aPP
3.122456990624287,-3.7664036839297705,graphitic nanoplatelets/aPP
18.351918040821957,-357.68204870586675,graphitic nanoplatelets/aPP
0.2871254118592792,-7.2429216993414585,multi-wall carbon nanotubes/aPP
3.122456990624287,-6.382580047841464,multi-wall carbon nanotubes/aPP
18.351918040821957,3.844077290201401,multi-wall carbon nanotubes/aPP
