Electric Field (V/m),Intrinsic Viscosity (dl/g)
3.680710754326839,0.25265062856276915,CCTO/PEG
9.590648122297697,-0.05793483296907875,CCTO/PEG
16.162044604632342,-0.11486628223126501,CCTO/PEG
17.37807174682256,-0.1168773220596076,CCTO/PEG
18.002064646192988,-0.1176648402388957,CCTO/PEG
3.680710754326839,6.2568315822652165,Paraffinum liquidum/PEG
9.590648122297697,5.9887437161406405,Paraffinum liquidum/PEG
16.162044604632342,5.9127514220357105,Paraffinum liquidum/PEG
17.37807174682256,5.883279228677905,Paraffinum liquidum/PEG
18.002064646192988,5.864671860847059,Paraffinum liquidum/PEG
3.680710754326839,-3.1283713822574613,MWCNT/PEG
9.590648122297697,-2.1472070699586276,MWCNT/PEG
16.162044604632342,-6.048369195954659,MWCNT/PEG
17.37807174682256,7.06828223563792,MWCNT/PEG
18.002064646192988,12.944974785200184,MWCNT/PEG
3.680710754326839,-4.972220313414524,Dodecylbenzenesulfonic acid/PEG
9.590648122297697,-5.190124315928973,Dodecylbenzenesulfonic acid/PEG
16.162044604632342,-5.239685259532709,Dodecylbenzenesulfonic acid/PEG
17.37807174682256,-5.241923159064658,Dodecylbenzenesulfonic acid/PEG
18.002064646192988,-5.243011267521684,Dodecylbenzenesulfonic acid/PEG
