Specific Heat Capacity (J/(g·K)),Thermal Diffusivity (mm²/s)
1,0.09335386105570054,Polyrotaxane
3,1.170008391350072,Polyrotaxane
5,3.2574768043596247,Polyrotaxane
18,-225.39046577485846,Polyrotaxane
19,92.52170079304106,Polyrotaxane
1,-4.61349578795358,Cellulose acetate butyrate
3,-4.88340606141181,Cellulose acetate butyrate
5,-5.025676957966957,Cellulose acetate butyrate
18,-5.447887758995833,Cellulose acetate butyrate
19,-5.472352648646843,Cellulose acetate butyrate
1,5.97435447837217,Polylactic acid
3,6.3805005240395385,Polylactic acid
5,9.091116934550906,Polylactic acid
18,304.95494717650143,Polylactic acid
19,661.2519852180935,Polylactic acid
