Aging Temperature (°C),Electrochemical Potential (V)
7.394151969034592,2.993082473709525,Paraffinum liquidum/P(VDF-CTFE)
10.276391695976743,2.843152863370049,Paraffinum liquidum/P(VDF-CTFE)
14.596547308015296,2.7072087926148836,Paraffinum liquidum/P(VDF-CTFE)
15.264199494893283,2.6960806331825644,Paraffinum liquidum/P(VDF-CTFE)
15.830778206966158,2.6884564192089946,Paraffinum liquidum/P(VDF-CTFE)
17.8885953718321,2.6433251195540968,Paraffinum liquidum/P(VDF-CTFE)
7.394151969034592,4.964461707890888,Carbon black/P(VDF-CTFE)
10.276391695976743,4.863339214475004,Carbon black/P(VDF-CTFE)
14.596547308015296,4.70723335938237,Carbon black/P(VDF-CTFE)
15.264199494893283,4.710512670471387,Carbon black/P(VDF-CTFE)
15.830778206966158,4.682975390928346,Carbon black/P(VDF-CTFE)
17.8885953718321,4.6587036031497915,Carbon black/P(VDF-CTFE)
7.394151969034592,-4.707492505992533,zirconium dioxide/P(VDF-CTFE)
10.276391695976743,-1.5298252084655388,zirconium dioxide/P(VDF-CTFE)
14.596547308015296,-0.5240811367846101,zirconium dioxide/P(VDF-CTFE)
15.264199494893283,4.836432352220319,zirconium dioxide/P(VDF-CTFE)
15.830778206966158,-1.4368279115407052,zirconium dioxide/P(VDF-CTFE)
17.8885953718321,2.8865480366241005,zirconium dioxide/P(VDF-CTFE)
7.394151969034592,6.212879964052175,carbon black/P(VDF-CTFE)
10.276391695976743,5.986292123092285,carbon black/P(VDF-CTFE)
14.596547308015296,5.837912382484289,carbon black/P(VDF-CTFE)
15.264199494893283,5.834112333508063,carbon black/P(VDF-CTFE)
15.830778206966158,5.847500362315838,carbon black/P(VDF-CTFE)
17.8885953718321,5.797970739529175,carbon black/P(VDF-CTFE)
7.394151969034592,-5.777827426972861,multi-walled CNTs/P(VDF-CTFE)
10.276391695976743,-5.845542347668301,multi-walled CNTs/P(VDF-CTFE)
14.596547308015296,-5.985512810349613,multi-walled CNTs/P(VDF-CTFE)
15.264199494893283,-6.008160429756121,multi-walled CNTs/P(VDF-CTFE)
15.830778206966158,-5.997636076365339,multi-walled CNTs/P(VDF-CTFE)
17.8885953718321,-6.053824969472892,multi-walled CNTs/P(VDF-CTFE)
