Pressure (Pa),Loss Factor
2.801510543088541,8.30241657971668,0.26% Multi-wall carbon nanotubes/Polyimide
4.690013467827758,8.775384585309748,0.26% Multi-wall carbon nanotubes/Polyimide
5.210166779363787,8.60202772798438,0.26% Multi-wall carbon nanotubes/Polyimide
16.608399877438952,14.757478558672009,0.26% Multi-wall carbon nanotubes/Polyimide
16.790382402822146,9.412362519429458,0.26% Multi-wall carbon nanotubes/Polyimide
2.801510543088541,-0.030015504135409543,0.06% Multi-wall carbon nanotubes/Polyimide
4.690013467827758,2.188034041335941,0.06% Multi-wall carbon nanotubes/Polyimide
5.210166779363787,4.885055725931672,0.06% Multi-wall carbon nanotubes/Polyimide
16.608399877438952,218.78974162470635,0.06% Multi-wall carbon nanotubes/Polyimide
16.790382402822146,12.682656963992693,0.06% Multi-wall carbon nanotubes/Polyimide
