Shear Rate (1/s),Electrical Resistivity (Ω·m)
2,4.7311805904707365,0.84% calcium copper titanate/PVDF
9,4.359890833065184,0.84% calcium copper titanate/PVDF
15,4.166474088076869,0.84% calcium copper titanate/PVDF
18,4.123642368965602,0.84% calcium copper titanate/PVDF
19,4.08800086101165,0.84% calcium copper titanate/PVDF
7.614887440071509,22.904073920039515,0.28% calcium copper titanate/PVDF
9.02146933921258,15.624801640117584,0.28% calcium copper titanate/PVDF
9.377825637303054,22.89980004614044,0.28% calcium copper titanate/PVDF
9.554745118623684,18.317883046788715,0.28% calcium copper titanate/PVDF
13.90862815136353,74.32000798461254,0.28% calcium copper titanate/PVDF
1,-0.272410000161039,0.21% calcium copper titanate/PVDF
4,1.508176254934845,0.21% calcium copper titanate/PVDF
8,9.468215949751896,0.21% calcium copper titanate/PVDF
9,-1.2910753912951574,0.21% calcium copper titanate/PVDF
15,17.900119282865553,0.21% calcium copper titanate/PVDF
11.860448429805967,4.487348904170316,0.67% calcium copper titanate/PVDF
11.893153801569628,4.4846796866472,0.67% calcium copper titanate/PVDF
15.465108820801,4.467051946894552,0.67% calcium copper titanate/PVDF
16.172072753955117,4.464611416237521,0.67% calcium copper titanate/PVDF
18.035854564784838,4.461059315137454,0.67% calcium copper titanate/PVDF
0.393030552848066,-0.15584560840182538,0.44% calcium copper titanate/PVDF
0.4017270998923128,-0.42214194111872405,0.44% calcium copper titanate/PVDF
8.190642463995449,0.8179637627841343,0.44% calcium copper titanate/PVDF
8.701491711253983,0.5370577065892559,0.44% calcium copper titanate/PVDF
18.646178424031202,3.7797216923652472,0.44% calcium copper titanate/PVDF
