Dielectric Loss,Particle Size (nm)
2.7006527197284225,5.719110389291981,calcium carbonate/PTFCE
7.152900718556021,5.436215875322473,calcium carbonate/PTFCE
8.532159337491567,5.395568389896096,calcium carbonate/PTFCE
17.04558098461807,5.318781264710759,calcium carbonate/PTFCE
19.327398586788274,5.315504286527865,calcium carbonate/PTFCE
2.7006527197284225,1.2640216369180521,cellulose nanowhiskers/PTFCE
7.152900718556021,0.8602926493347772,cellulose nanowhiskers/PTFCE
8.532159337491567,0.829202664789596,cellulose nanowhiskers/PTFCE
17.04558098461807,0.7631599264425394,cellulose nanowhiskers/PTFCE
19.327398586788274,0.7601672526378821,cellulose nanowhiskers/PTFCE
2.7006527197284225,1.3233459486064534,Titanium Dioxide/PTFCE
7.152900718556021,2.1506998248906077,Titanium Dioxide/PTFCE
8.532159337491567,3.7068625592973046,Titanium Dioxide/PTFCE
17.04558098461807,2.3731314067240414,Titanium Dioxide/PTFCE
19.327398586788274,-18.13583865898766,Titanium Dioxide/PTFCE
2.7006527197284225,-4.600749535686115,calcium carbonate/PTFCE
7.152900718556021,-4.845438535001825,calcium carbonate/PTFCE
8.532159337491567,-4.883463681026123,calcium carbonate/PTFCE
17.04558098461807,-4.958885236279696,calcium carbonate/PTFCE
19.327398586788274,-4.962043034890016,calcium carbonate/PTFCE
2.7006527197284225,6.110924708971178,Calcium Carbonate/PTFCE
7.152900718556021,5.913826034623145,Calcium Carbonate/PTFCE
8.532159337491567,5.87349807696261,Calcium Carbonate/PTFCE
17.04558098461807,5.620918766360687,Calcium Carbonate/PTFCE
19.327398586788274,5.572841186302336,Calcium Carbonate/PTFCE
