Holding Time (min),Tg (°C)
3,7.8605745545105625,Poly(butylene terephthalate)
5,8.138492195623487,Poly(butylene terephthalate)
10,9.308446345469235,Poly(butylene terephthalate)
11,10.638246206653996,Poly(butylene terephthalate)
17,19.00828656109576,Poly(butylene terephthalate)
18,6.59540651517586,Poly(butylene terephthalate)
3,6.344085694488005,PA 12
5,6.198042077526937,PA 12
10,6.009212596534412,PA 12
11,5.998169380092754,PA 12
17,5.964681854199876,PA 12
18,5.9632627347889,PA 12
3,-3.588125804809057,Nylon 12
5,-3.7896939292260265,Nylon 12
10,-3.972993657358347,Nylon 12
11,-3.962849535905541,Nylon 12
17,-4.140801480416612,Nylon 12
18,-4.170471500153845,Nylon 12
