vol% (%),Decomposition Temperature (°C)
6,4.899928323486335,
9,4.831487957325922,
17,4.76321705681901,
19,4.760406731639388,
3.2775038199416717,2.4902184128760285,
10.101887380572844,2.0961250129264375,
10.259447911978887,2.089973263713357,
14.128557149821168,2.0603931744345836,
2.4263351807273437,3.8504871583915463,
3.950052606855583,2.992785678539322,
9.227300339153073,4.969930717238922,
19.73326918802909,-2.0191771716870486,
4,-4.509209056097409,
8,-4.599864154524626,
9,-4.611152523888117,
13,-4.770660987423527,
