Strain,Bond Strength (MPa)
0.3425381125302973,-2.3838942666250826,PEVA
3.4159161436389174,-0.06381720150629189,PEVA
4.942817580860208,0.8642451125281658,PEVA
8.037572471952874,6.327062462485422,PEVA
18.17874121396106,240.66517924964825,PEVA
0.3425381125302973,2.6210036567054846,PVB
3.4159161436389174,5.239018635750709,PVB
4.942817580860208,5.809487087010874,PVB
8.037572471952874,7.7915152073656015,PVB
18.17874121396106,523.6218687534162,PVB
0.3425381125302973,-2.835214319177085,Poly(vinyl alcohol)
3.4159161436389174,-3.045373162803745,Poly(vinyl alcohol)
4.942817580860208,-3.2337950415255565,Poly(vinyl alcohol)
8.037572471952874,-3.304122490203305,Poly(vinyl alcohol)
18.17874121396106,-3.599393561939618,Poly(vinyl alcohol)
0.3425381125302973,2.380079341800969,PEKK
3.4159161436389174,3.16945650174047,PEKK
4.942817580860208,3.587756525928205,PEKK
8.037572471952874,3.1158932073887544,PEKK
18.17874121396106,11.863814111093298,PEKK
