Melting Temperature (°C),Ionic Conductivity (S/m)
2.2401654163229834,7.719116403066133,0.58% Buckminsterfullerene/CNBR
6.270492412659787,7.708166847641483,0.58% Buckminsterfullerene/CNBR
7.196661206105006,8.728689592763494,0.58% Buckminsterfullerene/CNBR
10.416434740628377,8.845474959822772,0.58% Buckminsterfullerene/CNBR
18.207525322066598,5.225137875569173,0.58% Buckminsterfullerene/CNBR
2.2401654163229834,6.26878998406903,0.3% Buckminsterfullerene/CNBR
6.270492412659787,6.724460897424807,0.3% Buckminsterfullerene/CNBR
7.196661206105006,7.434674003689491,0.3% Buckminsterfullerene/CNBR
10.416434740628377,6.815809317844111,0.3% Buckminsterfullerene/CNBR
18.207525322066598,15.758706098665183,0.3% Buckminsterfullerene/CNBR
2.2401654163229834,-3.718454293875756,0.71% Buckminsterfullerene/CNBR
6.270492412659787,5.8806408860943655,0.71% Buckminsterfullerene/CNBR
7.196661206105006,-1.846243138366587,0.71% Buckminsterfullerene/CNBR
10.416434740628377,32.00914163823404,0.71% Buckminsterfullerene/CNBR
18.207525322066598,214.30730483209257,0.71% Buckminsterfullerene/CNBR
2.2401654163229834,-3.270474539059175,0.87% Buckminsterfullerene/CNBR
6.270492412659787,-3.6316358306000103,0.87% Buckminsterfullerene/CNBR
7.196661206105006,-3.670044495919083,0.87% Buckminsterfullerene/CNBR
10.416434740628377,-3.7436328932042864,0.87% Buckminsterfullerene/CNBR
18.207525322066598,-3.781124517652228,0.87% Buckminsterfullerene/CNBR
