Softening Temperature (°C),Poisson’s Ratio
0,3.7316833592131107,
2,3.435771884147465,
3,3.302600759533015,
6,3.149634020277093,
9,3.0169098181750598,
16,2.9551325314276506,
0,-6.7538438916042045,
2,-6.907534725228709,
3,-6.714836006906161,
6,-7.1469384147163915,
9,-7.227308666768335,
16,-7.467737022753326,
0,-2.360089360665289,
2,-1.5129617550878856,
3,-1.7415564604675566,
6,1.9990333941041936,
9,13.37586540195859,
16,177.2187498853371,
0,-5.2608130688984405,
2,-5.367187607029542,
3,-5.263136066830799,
6,-5.5007409219566625,
9,-5.700085611138744,
16,-5.906566292381617,
