Thermal Diffusivity (mm²/s),Electric Field Strength (V/m)
0.6789949308563292,-4.32157048942374,SBR
9.432457642672961,-5.02798111759003,SBR
9.900973763007388,-5.1379317338703805,SBR
11.557970759919778,-5.158910418376633,SBR
0.6789949308563292,0.2486038621636837,Poly(vinyl butyral)
9.432457642672961,7.351247720177911,Poly(vinyl butyral)
9.900973763007388,16.895458059150947,Poly(vinyl butyral)
11.557970759919778,30.51563810859671,Poly(vinyl butyral)
0.6789949308563292,-4.043498614509292,Poly(tetrafluoroethylene)
9.432457642672961,14.3097800361479,Poly(tetrafluoroethylene)
9.900973763007388,10.161950041638312,Poly(tetrafluoroethylene)
11.557970759919778,25.091961212998598,Poly(tetrafluoroethylene)
0.6789949308563292,9.281590295348533,Poly(glycidyl methacrylate)
9.432457642672961,10.878758900524803,Poly(glycidyl methacrylate)
9.900973763007388,10.714270682393764,Poly(glycidyl methacrylate)
11.557970759919778,13.01548285426632,Poly(glycidyl methacrylate)
0.6789949308563292,-6.623248174844217,PTrFE
9.432457642672961,-6.012712379962085,PTrFE
9.900973763007388,-3.6188285117931853,PTrFE
11.557970759919778,-4.427454038501821,PTrFE
