Pore Size (nm),Kinematic Viscosity (mm²/s)
1.2746076108734061,6.223101892414388,Graphite oxide/E-SBR
9.30821290473958,5.592972526441298,Graphite oxide/E-SBR
17.426951591596033,5.361341054000227,Graphite oxide/E-SBR
19.237308710478974,5.334668320436657,Graphite oxide/E-SBR
1.2746076108734061,-1.9451412331143547,sodium montmorillonite/E-SBR
9.30821290473958,-0.33549612453511735,sodium montmorillonite/E-SBR
17.426951591596033,-0.6532714921215832,sodium montmorillonite/E-SBR
19.237308710478974,1.4308490087671846,sodium montmorillonite/E-SBR
1.2746076108734061,-2.4846920290721153,aluminum/E-SBR
9.30821290473958,-3.2988512837423,aluminum/E-SBR
17.426951591596033,-3.356380869894581,aluminum/E-SBR
19.237308710478974,-3.35846321659772,aluminum/E-SBR
1.2746076108734061,-1.1106782307785663,titanium dioxide/E-SBR
9.30821290473958,1.2870600636623633,titanium dioxide/E-SBR
17.426951591596033,3.514272378953769,titanium dioxide/E-SBR
19.237308710478974,5.398135472979943,titanium dioxide/E-SBR
1.2746076108734061,6.019478167437318,GO/E-SBR
9.30821290473958,5.3810854723126695,GO/E-SBR
17.426951591596033,8.757026780591175,GO/E-SBR
19.237308710478974,7.896660640293032,GO/E-SBR
