Aging Temperature (°C),Toughness (MJ/m³)
5.193138742946988,2.16591889041,Calcium copper titanate/UPR
8.795641137388372,2.0634103091002824,Calcium copper titanate/UPR
16.517226737573996,2.008671039678065,Calcium copper titanate/UPR
17.620149424481202,2.006617775444701,Calcium copper titanate/UPR
18.837974362692545,2.004981450226543,Calcium copper titanate/UPR
2.5114742134211188,0.6065412305009272,OMLS/UPR
2.6323869926883803,1.209725439046042,OMLS/UPR
7.9635445556497135,2.033930342578685,OMLS/UPR
8.606750673240537,1.5389033254228313,OMLS/UPR
16.90770620485417,3.8504199646602153,OMLS/UPR
