Melting Temperature (°C),Heat Of Crystallization (J/g)
2,-1.4604548087237788,NVE
3,-1.3261543077087625,NVE
8,-1.7337785623029598,NVE
2,3.8694331180031427,Poly(ether ether ketone)
3,3.720591481358006,Poly(ether ether ketone)
8,3.464102631568852,Poly(ether ether ketone)
2,-0.2058462182424612,Poly(acrylic acid)
3,1.3971168275661983,Poly(acrylic acid)
8,12.688613103870802,Poly(acrylic acid)
2,4.437316673647351,P(BA-a)
3,4.463498447185585,P(BA-a)
8,4.1391762337662374,P(BA-a)
2,1.7516970426887801,Polyimide
3,2.1213063620259427,Polyimide
8,8.765214641198252,Polyimide
