Thermal Diffusivity (mm²/s),Fracture Toughness (MPa·m^0.5)
11.333057098605096,1.6556192118860427,0.21% graphite oxide/IMPP
15.215690457384783,5.15863915742198,0.21% graphite oxide/IMPP
17.41662090521242,20.49067601300908,0.21% graphite oxide/IMPP
18.444994007951347,-3.828573466727736,0.21% graphite oxide/IMPP
11.333057098605096,7.584031687207165,0.9% graphite oxide/IMPP
15.215690457384783,7.500551116823751,0.9% graphite oxide/IMPP
17.41662090521242,7.444828262340847,0.9% graphite oxide/IMPP
18.444994007951347,7.425767261997176,0.9% graphite oxide/IMPP
11.333057098605096,-7.326173446413879,0.89% graphite oxide/IMPP
15.215690457384783,-11.57166444407321,0.89% graphite oxide/IMPP
17.41662090521242,3.0320261005887748,0.89% graphite oxide/IMPP
18.444994007951347,-12.29121908949536,0.89% graphite oxide/IMPP
11.333057098605096,-7.931930674561294,0.76% graphite oxide/IMPP
15.215690457384783,-7.9536257846258245,0.76% graphite oxide/IMPP
17.41662090521242,-7.959246942961663,0.76% graphite oxide/IMPP
18.444994007951347,-7.960522909806878,0.76% graphite oxide/IMPP
