Exposure Time (h),Pore Volume (cm³/g)
2,-0.8004752809207356,0.64% graphite nanoplates
3,-0.8655444710630742,0.64% graphite nanoplates
7,0.1876920204779271,0.64% graphite nanoplates
14,-0.6551101818314096,0.64% graphite nanoplates
15,8.709722307453685,0.64% graphite nanoplates
19,14.802483912637339,0.64% graphite nanoplates
2,4.214600557793334,0.71% graphite nanoplates
3,4.694921548263309,0.71% graphite nanoplates
7,5.3925121430230085,0.71% graphite nanoplates
14,5.344858483722503,0.71% graphite nanoplates
15,14.937974958724267,0.71% graphite nanoplates
19,9.835415727219424,0.71% graphite nanoplates
2,-2.055824748240043,0.23% graphite nanoplates
3,-2.0774627130205046,0.23% graphite nanoplates
7,-2.408164616429069,0.23% graphite nanoplates
14,-2.5149769169233553,0.23% graphite nanoplates
15,-2.519781590048267,0.23% graphite nanoplates
19,-2.5271082185125455,0.23% graphite nanoplates
2,8.103103832695636,0.68% graphite nanoplates
3,9.012559304863402,0.68% graphite nanoplates
7,8.987732035311218,0.68% graphite nanoplates
14,7.833787009415193,0.68% graphite nanoplates
15,8.566613413510602,0.68% graphite nanoplates
19,23.240083365850374,0.68% graphite nanoplates
2,1.0638131242971034,0.51% graphite nanoplates
3,0.7354800693364567,0.51% graphite nanoplates
7,1.8924126443407947,0.51% graphite nanoplates
14,1.6287278256670086,0.51% graphite nanoplates
15,-1.2270861979161864,0.51% graphite nanoplates
19,5.103942960695488,0.51% graphite nanoplates
