Thermal Diffusivity (mm²/s),Specific Heat (J/(g·K))
2,1.5708632128643685,Silicon carbide/PAA
3,1.5341172998015455,Silicon carbide/PAA
15,1.035402345259784,Silicon carbide/PAA
2,-5.242661680574035,Barium Titanate/PAA
3,-4.2032437572880905,Barium Titanate/PAA
15,37.565238485768255,Barium Titanate/PAA
2,-3.762704842074803,Lamp black/PAA
3,-2.5397873512520865,Lamp black/PAA
15,152.22634108074004,Lamp black/PAA
2,3.3035143568364487,Gold/PAA
3,3.4368766659552388,Gold/PAA
15,2.8174838406651634,Gold/PAA
2,9.015264519674018,Carbon black/PAA
3,8.07698289180849,Carbon black/PAA
15,13.039946180551876,Carbon black/PAA
