Specific Surface Area (m²/g),Electric Field Strength (V/m)
4,-3.1119834824334998,SiC powder/PHFP
6,-1.9522566220864699,SiC powder/PHFP
11,0.20312198736804943,SiC powder/PHFP
12,-1.429294072121217,SiC powder/PHFP
16,14.343199934123755,SiC powder/PHFP
4,3.2375692820247375,Calcium copper titanate/PHFP
6,3.237010859691889,Calcium copper titanate/PHFP
11,2.8963344241257407,Calcium copper titanate/PHFP
12,2.9013242589593675,Calcium copper titanate/PHFP
16,2.8088483675191847,Calcium copper titanate/PHFP
4,-4.0081243574551015,Clay/PHFP
6,-0.1896451277812874,Clay/PHFP
11,5.918207301943646,Clay/PHFP
12,77.63298358438308,Clay/PHFP
16,257.8679104705433,Clay/PHFP
4,1.378852008164166,Methoxy(dimethyl)octylsilane/PHFP
6,1.372109965594296,Methoxy(dimethyl)octylsilane/PHFP
11,1.1704646775079608,Methoxy(dimethyl)octylsilane/PHFP
12,1.1375354171063008,Methoxy(dimethyl)octylsilane/PHFP
16,1.0338267570959339,Methoxy(dimethyl)octylsilane/PHFP
