Solvent Concentration (M),Electrical Conductivity (S/m)
0.5909339134447666,-0.045557308137107566,CCTO ceramics/Polyamide-imide
2.7241627588293205,-0.05845434606917066,CCTO ceramics/Polyamide-imide
9.493857674282992,-0.48488462581562886,CCTO ceramics/Polyamide-imide
18.332108962762348,-0.7634397906628153,CCTO ceramics/Polyamide-imide
19.260500654501325,-0.7812567874250689,CCTO ceramics/Polyamide-imide
0.14468987334316896,7.888755071594402,graphene platelets/Polyamide-imide
1.0000427279676427,8.279000752202862,graphene platelets/Polyamide-imide
4.472921896049799,9.572642321233815,graphene platelets/Polyamide-imide
12.152992143883344,49.20941504879675,graphene platelets/Polyamide-imide
15.926262827626903,160.68106541320597,graphene platelets/Polyamide-imide
4.662911983023639,6.037564752394323,Barium titanate/Polyamide-imide
7.747709933019586,6.119328908489523,Barium titanate/Polyamide-imide
13.807473814356587,7.063679617703465,Barium titanate/Polyamide-imide
14.799243062873995,13.462050705206737,Barium titanate/Polyamide-imide
16.92840336845874,17.79913942468037,Barium titanate/Polyamide-imide
1,-0.06928238651869623,Alumina/Polyamide-imide
2,-0.10851323188473949,Alumina/Polyamide-imide
7,0.5610248965054934,Alumina/Polyamide-imide
12,2.378756527277567,Alumina/Polyamide-imide
14,1.9380569693262752,Alumina/Polyamide-imide
