Young’s Modulus (GPa),Thermal Resistance (K/W)
2,-5.171809527010655,0.79% 9-Anthracenemethanol
4,-4.4676622118364415,0.79% 9-Anthracenemethanol
8,-3.902031684245433,0.79% 9-Anthracenemethanol
9,7.262338745269407,0.79% 9-Anthracenemethanol
11,19.642009062325393,0.79% 9-Anthracenemethanol
16,223.61992001320348,0.79% 9-Anthracenemethanol
2,2.65402604305737,0.11% 9-Anthracenemethanol
4,2.407737689442892,0.11% 9-Anthracenemethanol
8,2.169012584817979,0.11% 9-Anthracenemethanol
9,2.153519109260296,0.11% 9-Anthracenemethanol
11,2.1180327195528723,0.11% 9-Anthracenemethanol
16,2.0869304933134663,0.11% 9-Anthracenemethanol
