UV Exposure Time (h),Surface Area (m²/g)
0,4.54138759314424,Acetylene black/PTFE
7,8.036724118567236,Acetylene black/PTFE
12,19.44059964748501,Acetylene black/PTFE
17,150.4097851829183,Acetylene black/PTFE
18,165.4951831173582,Acetylene black/PTFE
0,2.7387404720978195,Sodium titanate nanotubes/PTFE
7,1.7789664666675278,Sodium titanate nanotubes/PTFE
12,1.6968304702001862,Sodium titanate nanotubes/PTFE
17,1.673833865791554,Sodium titanate nanotubes/PTFE
18,1.6720325609264715,Sodium titanate nanotubes/PTFE
0,3.830874932548062,single-walled CNTs/PTFE
7,3.362966205484474,single-walled CNTs/PTFE
12,3.0831061033281353,single-walled CNTs/PTFE
17,2.9573440384309304,single-walled CNTs/PTFE
18,2.9442823763608246,single-walled CNTs/PTFE
0,-6.53129342388272,titanium dioxide/PTFE
7,-4.2560054277250945,titanium dioxide/PTFE
12,47.66662211154168,titanium dioxide/PTFE
17,104.04750590991412,titanium dioxide/PTFE
18,82.64506759280778,titanium dioxide/PTFE
0,-0.1252140715087393,silica/PTFE
7,-0.6276922112150447,silica/PTFE
12,-0.8005343519063635,silica/PTFE
17,-0.9238289398963201,silica/PTFE
18,-0.9467749571694646,silica/PTFE
