Light Intensity (W/m²),Poisson’s Ratio
3,0.02352459510591487,
12,15.734189231302523,
13,51.12757798103543,
14,-4.258307209491782,
18,127.59397786550818,
3,-7.583885125314281,
12,-7.948559068602709,
13,-7.957756753916086,
14,-7.961913672549478,
18,-7.9728553969368825,
3,-2.5779290673491504,
12,-2.9954002723787765,
13,-3.028134785681017,
14,-3.0334047089926326,
18,-3.127246298087832,
3,2.3390381208634983,
12,1.8350346527189134,
13,1.7865552696590725,
14,1.7811028642331719,
18,1.7047411123209177,
3,4.9803045715438525,
12,4.395668698455289,
13,4.414857078549309,
14,4.358044826891525,
18,4.267204346392948,
