Volume Fraction (%),Passivation Current Density (A/m²)
2.2284365247795956,4.438388334692015,PAN
2.8003469498656575,4.517045708476434,PAN
11.657054141471017,4.1220889563418055,PAN
16.306026002312443,4.098801337098119,PAN
17.218888394256812,4.097518133596091,PAN
2.2284365247795956,-5.765419814213383,PPSF
2.8003469498656575,-5.872725098567309,PPSF
11.657054141471017,-5.33052835056544,PPSF
16.306026002312443,-2.825202297528696,PPSF
17.218888394256812,4.960460122833183,PPSF
2.2284365247795956,3.5958688781722463,EVA
2.8003469498656575,3.6545335763904134,EVA
11.657054141471017,49.39890068489095,EVA
16.306026002312443,140.05681434024626,EVA
17.218888394256812,-33.17447633328342,EVA
