Calcination Time (h),Intrinsic Viscosity (dl/g)
3.1537055469774056,-1.7713752876547386,
8.906123823506828,20.344634719869514,
15.721345858914418,217.10398700790972,
17.923058078741366,252.99292462665036,
18.181942439423725,122.67198349477654,
19.620934841256457,-248.7578988137312,
2,-6.080591326459529,
3,-6.361269108071184,
5,-6.440982422305848,
15,-6.681483046076554,
16,-6.684191191587086,
18,-6.687534873619524,
0.7816970629078046,-3.000636612307851,
5.358445146130322,-2.4393642392576944,
5.592071576219331,-3.054901638419376,
8.339618171782883,-2.972296684577211,
12.338076941550447,0.023995230860689887,
16.730746857823362,10.590544679526632,
