Magnetic Field Strength (T),Magnetic Permeability (H/m)
9,17.22524082123464,Furnace black/Thermoplastic polyurethane
10,21.4289617564419,Furnace black/Thermoplastic polyurethane
14,14.652206814317179,Furnace black/Thermoplastic polyurethane
15,-7.385579796617047,graphitic nanoplatelets/Thermoplastic polyurethane
17,-7.440687383255999,graphitic nanoplatelets/Thermoplastic polyurethane
19,-7.475233716498196,graphitic nanoplatelets/Thermoplastic polyurethane
7,13.0140876040903,sodium montmorillonite/Thermoplastic polyurethane
8,19.80917584020966,sodium montmorillonite/Thermoplastic polyurethane
16,60.67366577009812,sodium montmorillonite/Thermoplastic polyurethane
8,3.069391765111914,SWCNT/Thermoplastic polyurethane
18,2.763167471386975,SWCNT/Thermoplastic polyurethane
19,2.754563563026264,SWCNT/Thermoplastic polyurethane
