Ion Beam Dose (Gy),Hardness (HV)
4.8182037719338595,3.9592179820260975,Poly(vinyl butyral)
6.341913367265035,8.361584357648448,Poly(vinyl butyral)
10.491034825325807,39.28148489646911,Poly(vinyl butyral)
15.84520171792345,-78.84197269133156,Poly(vinyl butyral)
18.054149560479683,332.753004119607,Poly(vinyl butyral)
4.8182037719338595,5.2379054750739655,Cyclic olefin copolymer
6.341913367265035,5.1726521999457855,Cyclic olefin copolymer
10.491034825325807,5.073763602315578,Cyclic olefin copolymer
15.84520171792345,5.041095044019045,Cyclic olefin copolymer
18.054149560479683,5.037002973865431,Cyclic olefin copolymer
4.8182037719338595,0.30789689372364126,Poly(ethylene terephthalate)
6.341913367265035,8.128067500839816,Poly(ethylene terephthalate)
10.491034825325807,-3.7898550218953257,Poly(ethylene terephthalate)
15.84520171792345,95.88166095728347,Poly(ethylene terephthalate)
18.054149560479683,-23.31297246313985,Poly(ethylene terephthalate)
4.8182037719338595,3.8210810932277997,PETP
6.341913367265035,10.126255393914578,PETP
10.491034825325807,23.858626133427023,PETP
15.84520171792345,142.26901753570405,PETP
18.054149560479683,559.6237006142621,PETP
4.8182037719338595,-1.1210939448212183,Nylon 12
6.341913367265035,3.5540550326976383,Nylon 12
10.491034825325807,25.208819840021278,Nylon 12
15.84520171792345,186.7057056005517,Nylon 12
18.054149560479683,640.0007852042522,Nylon 12
