Softening Temperature (°C),Galvanic Potential (V)
0.9080189170079733,1.3361589951929354,Organophilic clay/BR
2.8478201304649753,1.0996943397983319,Organophilic clay/BR
7.5921293996932615,0.6812726917590143,Organophilic clay/BR
0.9080189170079733,3.4900483237162616,Silicon dioxide/BR
2.8478201304649753,3.4389682197550653,Silicon dioxide/BR
7.5921293996932615,3.14911050905419,Silicon dioxide/BR
0.9080189170079733,2.3106545800972764,graphene platelets/BR
2.8478201304649753,1.73751231415747,graphene platelets/BR
7.5921293996932615,3.442856292696595,graphene platelets/BR
0.9080189170079733,6.889228851986212,C60/BR
2.8478201304649753,6.487752879687656,C60/BR
7.5921293996932615,8.198368400895006,C60/BR
