Aging Time (h),Magnetic Permeability (H/m)
1.4091896960147965,-0.6699595039644024,Furnace black/PEA
3.2031427668481927,0.4142538510395224,Furnace black/PEA
14.665100678667375,215.91449659831903,Furnace black/PEA
18.527229274510987,506.9690009573338,Furnace black/PEA
1.4091896960147965,5.169012641764719,silica gel/PEA
3.2031427668481927,6.265043395560781,silica gel/PEA
14.665100678667375,183.92499376489886,silica gel/PEA
18.527229274510987,41.12341046696846,silica gel/PEA
1.4091896960147965,-3.723597858725999,exfoliated graphite/PEA
3.2031427668481927,-3.928183583215958,exfoliated graphite/PEA
14.665100678667375,-4.335954290051079,exfoliated graphite/PEA
18.527229274510987,-4.421933681922076,exfoliated graphite/PEA
1.4091896960147965,7.10256484649092,Graphite oxide/PEA
3.2031427668481927,6.874790886724143,Graphite oxide/PEA
14.665100678667375,6.442854259001176,Graphite oxide/PEA
18.527229274510987,6.364305259841591,Graphite oxide/PEA
1.4091896960147965,0.005690058796999797, Graphite/PEA
3.2031427668481927,-0.24229269572157597, Graphite/PEA
14.665100678667375,-0.560314811683305, Graphite/PEA
18.527229274510987,-0.5682251595226829, Graphite/PEA
