Ultrasound Time (min),Ionic Conductivity (S/m)
1.929561798686923,2.4065546212870195,PA 11
9.352116164514559,1.8504362814540074,PA 11
11.690593660136786,3.2074482807877067,PA 11
15.977552941501559,9.95128300532271,PA 11
7,-2.401754235249175,Poly(ether ether ketone)
10,0.21522425063249262,Poly(ether ether ketone)
11,-2.5186779049278556,Poly(ether ether ketone)
19,-3.3177640190021362,Poly(ether ether ketone)
8,8.412550092183373,DGEBD Epoxy Resin
9,8.394137564606357,DGEBD Epoxy Resin
14,8.233462524206745,DGEBD Epoxy Resin
18,8.129791763232852,DGEBD Epoxy Resin
