Specific Heat Capacity (J/(g·K)),Shear Modulus (GPa)
6.114229921932299,3.1183075913687537,SWNTs/P2VP
9.46104469762776,1.5610977988314856,SWNTs/P2VP
11.126864306853399,2.91089740349054,SWNTs/P2VP
12.126265196284596,4.3939928174250635,SWNTs/P2VP
19.080040508338126,9.504074342572796,SWNTs/P2VP
6.114229921932299,-3.8166518523792146,AuNPs/P2VP
9.46104469762776,-3.9199416825518982,AuNPs/P2VP
11.126864306853399,-3.927850131207039,AuNPs/P2VP
12.126265196284596,-3.9384414499801816,AuNPs/P2VP
19.080040508338126,-3.9610490382924683,AuNPs/P2VP
6.114229921932299,-1.444203177970655,graphene/P2VP
9.46104469762776,-1.5220875705235868,graphene/P2VP
11.126864306853399,-1.54605869288966,graphene/P2VP
12.126265196284596,-1.5519972675900884,graphene/P2VP
19.080040508338126,-1.5772539418463523,graphene/P2VP
6.114229921932299,-6.67302376603741,polyaniline/P2VP
9.46104469762776,-6.739907811624577,polyaniline/P2VP
11.126864306853399,-6.8240296825240065,polyaniline/P2VP
12.126265196284596,-6.846891692841408,polyaniline/P2VP
19.080040508338126,-7.01576403120088,polyaniline/P2VP
