Holding Time (min),Crystallization Temperature (°C)
8.047673273577832,9.686115349040344,0.34% Titanium Dioxide
9.891003597390107,27.589024742791015,0.34% Titanium Dioxide
13.017394693399979,40.77106441791298,0.34% Titanium Dioxide
16.701478767357134,240.05671103622925,0.34% Titanium Dioxide
8.047673273577832,4.051170880998239,0.0% Titanium Dioxide
9.891003597390107,4.011235904990248,0.0% Titanium Dioxide
13.017394693399979,3.9768286772355834,0.0% Titanium Dioxide
16.701478767357134,3.9632827565573443,0.0% Titanium Dioxide
8.047673273577832,4.936867123939877,0.32% Titanium Dioxide
9.891003597390107,4.866503959742096,0.32% Titanium Dioxide
13.017394693399979,4.745207859327337,0.32% Titanium Dioxide
16.701478767357134,4.669260288273166,0.32% Titanium Dioxide
