Dielectric Constant,Saturation Magnetization (A/m)
1,-3.878346747960721,Nylon 6
13,0.9249782308507548,Nylon 6
16,-6.3320928131281775,Nylon 6
1,0.5560559815765327,PHFP
13,-0.18245157626794278,PHFP
16,-0.2762261610841463,PHFP
1,-5.5132315401703,Poly(styrene-co-acrylonitrile)
13,-11.54246560868793,Poly(styrene-co-acrylonitrile)
16,-8.559008086444312,Poly(styrene-co-acrylonitrile)
1,-7.257167003768973,PVA
13,-7.800792355597338,PVA
16,-7.812433320397674,PVA
1,4.119558205613838,TGPAP
13,3.483607478847731,TGPAP
16,3.4711210835566693,TGPAP
