Film Thickness (µm),Fracture Toughness (MPa·m^0.5)
8.693227639007986,0.11683614617309215,0.88% Fe3O4
10.221126260679156,0.08182111610888756,0.88% Fe3O4
13.302860080768259,0.05714596160175166,0.88% Fe3O4
18.351775265698276,0.04399430863006921,0.88% Fe3O4
19.986188685615204,0.04246827846326571,0.88% Fe3O4
8.693227639007986,17.174847890820693,0.75% Fe3O4
10.221126260679156,47.11007816996897,0.75% Fe3O4
13.302860080768259,139.10790954601526,0.75% Fe3O4
18.351775265698276,106.98650252077557,0.75% Fe3O4
19.986188685615204,772.0831218882229,0.75% Fe3O4
8.693227639007986,27.524295625952423,0.63% Fe3O4
10.221126260679156,41.61220369013242,0.63% Fe3O4
13.302860080768259,-17.590697693848963,0.63% Fe3O4
18.351775265698276,1162.5025194840034,0.63% Fe3O4
19.986188685615204,-360.93047609971535,0.63% Fe3O4
