Solvent Concentration (M),Electronic Conductivity (S/m)
10,0.21272814490019587,CCTO/Poly(propylene)
17,0.07258076339475505,CCTO/Poly(propylene)
18,0.044700721216614114,CCTO/Poly(propylene)
7.297341843538064,7.06278544695124,BaTiO3/Poly(propylene)
11.580436370204236,46.16140176650463,BaTiO3/Poly(propylene)
13.399955304543727,84.72437742714956,BaTiO3/Poly(propylene)
0,-7.035252875942913,exfoliated graphite/Poly(propylene)
14,96.59125789590945,exfoliated graphite/Poly(propylene)
16,340.2445533487164,exfoliated graphite/Poly(propylene)
3,0.9165499565423836,graphene oxide/Poly(propylene)
9,0.5794484897433873,graphene oxide/Poly(propylene)
17,0.5268716328074897,graphene oxide/Poly(propylene)
0,-2.8745468625937507,exfoliated graphite/Poly(propylene)
3,-1.7065725667282252,exfoliated graphite/Poly(propylene)
9,11.104337210845461,exfoliated graphite/Poly(propylene)
