Stress (Pa),Thermal Conductivity (W/(m·K))
1,7.568745975513587,BR
3,7.600694589048803,BR
4,7.421575028742014,BR
5,7.2163192505833,BR
6,7.390284152599786,BR
15,6.969597881138275,BR
1,1.8479209205717948,PEVA
3,1.201278320972107,PEVA
4,1.1381237490188907,PEVA
5,1.0215819372673194,PEVA
6,0.9566876003603092,PEVA
15,0.8314049250495561,PEVA
1,-4.548412717240243,TPU
3,-4.906760808521645,TPU
4,-4.915484932195366,TPU
5,-5.015300306157167,TPU
6,-5.052784809145841,TPU
15,-5.213603993350583,TPU
