Drying Time (h),Thermal Stability (°C)
1.6792986571405422,7.25712052122647,
5.042238658311353,7.153928466478455,
7.7534484324794235,6.863074594245711,
3.943627566295922,8.266403353869089,
4.134194841608057,8.325388287044271,
8.027327375414075,8.058471238523124,
4.853286149038951,-0.68190546117544,
7.363123357832517,-0.3830707616027378,
19.886388531436182,-3.40354622514156,
7.7567518618059665,-2.824027125385566,
13.052667731518016,-0.6828048615800411,
14.112413711106464,-4.075780377121978,
3,7.516458430883779,
11,47.3662162424703,
12,41.57582592054192,
