Pore Volume (cm³/g),Remanence (A/m)
0,1.3853949543391149,
2,2.8580829655828417,
3,3.4776550906015586,
8,4.34106871293964,
13,-12.52022654777047,
16,-162.37501221815302,
0,3.9942975062731203,
2,3.9308460597751567,
3,3.8000285033159744,
8,3.4506298730493183,
13,3.2939433016971953,
16,3.2588417677712913,
0,-2.476307417637744,
2,-2.01088079909649,
3,-1.652269552546255,
8,2.3240400832525383,
13,112.43143807563702,
16,332.43067341084867,
0,3.644444976209866,
2,3.559468958630262,
3,3.493009683732661,
8,3.098451196356636,
13,3.0307791819337084,
16,3.019724380140426,
0,4.113925131231589,
2,3.784380292143776,
3,3.6005323194432837,
8,3.30606721787426,
13,3.2455922086205105,
16,3.233975357699258,
