Particle Size (nm),Specific Heat (J/(g·K))
1,2.728245287820428,0.93% zirconium dioxide
2,3.6710060232539687,0.93% zirconium dioxide
4,3.741733505520876,0.93% zirconium dioxide
5,4.462105722969985,0.93% zirconium dioxide
10,16.67611965049058,0.93% zirconium dioxide
16,197.1786484296494,0.93% zirconium dioxide
1,8.82842648055261,0.11% zirconium dioxide
2,8.741820601491078,0.11% zirconium dioxide
4,8.520246944803437,0.11% zirconium dioxide
5,8.40747763690812,0.11% zirconium dioxide
10,8.18018443796007,0.11% zirconium dioxide
16,8.006173555887427,0.11% zirconium dioxide
1,9.118650240853999,1.0% zirconium dioxide
2,9.90859301299467,1.0% zirconium dioxide
4,11.587695714796762,1.0% zirconium dioxide
5,13.153917171586912,1.0% zirconium dioxide
10,23.379553018858445,1.0% zirconium dioxide
16,26.697365699691478,1.0% zirconium dioxide
1,-4.965000704120212,0.83% zirconium dioxide
2,-3.9070611815109713,0.83% zirconium dioxide
4,-2.3162823829895265,0.83% zirconium dioxide
5,-2.92659133332602,0.83% zirconium dioxide
10,24.54253848647499,0.83% zirconium dioxide
16,162.04445051501517,0.83% zirconium dioxide
