Particle Size (nm),Toughness (MJ/m³)
0.5862850664419716,0.4848573871761642,Nylon 6-6
0.8991101212217067,0.39716323478622195,Nylon 6-6
4.661323947033644,0.16559907077489833,Nylon 6-6
12.380768106914015,-0.11919794827347968,Nylon 6-6
17.432338560071607,-0.2103289734094852,Nylon 6-6
19.35781154908321,-0.2507370513440893,Nylon 6-6
3,9.359681084722869,Nylon 12
5,9.533969146969625,Nylon 12
13,89.33102046670491,Nylon 12
14,75.28587091546434,Nylon 12
16,238.1759044510286,Nylon 12
17,645.7156752709361,Nylon 12
0.4694367479193806,8.45833438197137,DGEBA Epoxy Resin
0.5429744118918722,8.469101265312073,DGEBA Epoxy Resin
7.968893554918399,7.977983720344028,DGEBA Epoxy Resin
10.03277443960966,7.926303258643476,DGEBA Epoxy Resin
17.194986787632228,7.742386455379044,DGEBA Epoxy Resin
18.915494904344992,7.717073595155437,DGEBA Epoxy Resin
5.5259382414516045,5.303777793446917,PGMA
9.192074718690094,14.275452572079754,PGMA
9.292488975187077,18.046891305450462,PGMA
14.48204509549784,91.48286953792952,PGMA
16.253936144874956,371.66213972588173,PGMA
17.580616525641236,21.991473009106514,PGMA
