Aging Time (h),Viscosity (Pa·s)
3,6.830210155008933,0.15% Silica/Poly(butylene)
8,12.456775089898956,0.15% Silica/Poly(butylene)
14,80.09198617015733,0.15% Silica/Poly(butylene)
15,381.42788498925324,0.15% Silica/Poly(butylene)
19,56.20530825899594,0.15% Silica/Poly(butylene)
3,6.587128911041017,0.9% Silica/Poly(butylene)
8,6.439032114724735,0.9% Silica/Poly(butylene)
14,6.273633443204183,0.9% Silica/Poly(butylene)
15,6.238004916242915,0.9% Silica/Poly(butylene)
19,6.170328724689755,0.9% Silica/Poly(butylene)
