filler labels,Thermal Conductivity (W/(m·K))
0,0.858154248402684,PMMA-PtBA
4,3.2774845544463957,PMMA-PtBA
5,6.314993191498104,PMMA-PtBA
11,12.143705824001279,PMMA-PtBA
18,21.068129984122578,PMMA-PtBA
0,0.4394662999948946,Poly(acrylonitrile)
4,-0.3261895154782808,Poly(acrylonitrile)
5,-0.4180727643290484,Poly(acrylonitrile)
11,-0.6189207637395684,Poly(acrylonitrile)
18,-0.646364250558475,Poly(acrylonitrile)
0,-4.889153925248956,PGMA
4,-5.301591246743044,PGMA
5,-5.426181165672115,PGMA
11,-5.587378226880537,PGMA
18,-5.621383772093319,PGMA
0,7.384797469307377,TGPAP
4,7.229331351954273,TGPAP
5,7.171306906699734,TGPAP
11,6.911429228417188,TGPAP
18,6.712554383687567,TGPAP
