Thermal Conductivity (W/(m·K)),Pore Size (nm)
3.044794468323342,-2.434915867406064,Carbon nanofibers/PEA
14.419872621472242,-2.8867680189212157,Carbon nanofibers/PEA
18.080373503560672,-2.952415598024434,Carbon nanofibers/PEA
18.621749610431063,-2.9543115288785056,Carbon nanofibers/PEA
3.044794468323342,10.179158157845297,Silica/PEA
14.419872621472242,-19.648502757822964,Silica/PEA
18.080373503560672,484.0829597856109,Silica/PEA
18.621749610431063,341.5334869181298,Silica/PEA
3.044794468323342,-7.357080490920821,Aluminium/PEA
14.419872621472242,-7.68548764002734,Aluminium/PEA
18.080373503560672,-7.694893041337638,Aluminium/PEA
18.621749610431063,-7.695428001305463,Aluminium/PEA
