Glass Transition Temperature (°C),Hysteresis Loss (J/m³)
4,-4.69270584716812,MWCNTs/IMPP
17,-5.060449103671879,MWCNTs/IMPP
19,-5.063393296106451,MWCNTs/IMPP
4,1.3966129807713823,OAP-POSS/IMPP
17,0.8868343021815532,OAP-POSS/IMPP
19,0.8490522665613903,OAP-POSS/IMPP
4,-2.6535353601620275,dodecylbenzene sulfonic acid/IMPP
17,42.77752486018187,dodecylbenzene sulfonic acid/IMPP
19,576.666262320884,dodecylbenzene sulfonic acid/IMPP
4,8.067098252290563,graphene platelet/IMPP
17,7.728311653825327,graphene platelet/IMPP
19,7.725665830547752,graphene platelet/IMPP
