Ultrasound Time (min),Thermal Stability (°C)
1,2.439154369882454,0.34% Single-wall carbon nanotubes
5,4.7958431612056245,0.34% Single-wall carbon nanotubes
7,9.195055927489134,0.34% Single-wall carbon nanotubes
10,29.435630177863963,0.34% Single-wall carbon nanotubes
14,51.59988456160755,0.34% Single-wall carbon nanotubes
1,1.9833231385337675,0.92% Single-wall carbon nanotubes
5,1.7717363941912012,0.92% Single-wall carbon nanotubes
7,2.9220829009218434,0.92% Single-wall carbon nanotubes
10,5.597357446187884,0.92% Single-wall carbon nanotubes
14,3.4503595041768174,0.92% Single-wall carbon nanotubes
1,1.1733534227634375,0.12% Single-wall carbon nanotubes
5,1.2171745321025662,0.12% Single-wall carbon nanotubes
7,2.6513955338923436,0.12% Single-wall carbon nanotubes
10,0.8707186241045932,0.12% Single-wall carbon nanotubes
14,5.067254037688326,0.12% Single-wall carbon nanotubes
1,-2.9466757482656565,0.01% Single-wall carbon nanotubes
5,1.044868890807269,0.01% Single-wall carbon nanotubes
7,-0.9612168603955729,0.01% Single-wall carbon nanotubes
10,18.55782277618504,0.01% Single-wall carbon nanotubes
14,-46.56256313593319,0.01% Single-wall carbon nanotubes
