Nanoparticle Volume (%),Degradation Temperature (°C)
4.983875936404731,-4.501530246691393,Aluminium oxide/PEEK
5.4108924247880825,-4.544538945421878,Aluminium oxide/PEEK
12.55489426029824,-4.73335000809802,Aluminium oxide/PEEK
13.06115471355283,-4.735142151655916,Aluminium oxide/PEEK
18.51040487020907,-4.752643851104005,Aluminium oxide/PEEK
4.983875936404731,5.398498540927546,OAPS/PEEK
5.4108924247880825,5.370496537672797,OAPS/PEEK
12.55489426029824,5.189504617544387,OAPS/PEEK
13.06115471355283,5.187569120312348,OAPS/PEEK
18.51040487020907,5.1713286072684355,OAPS/PEEK
4.983875936404731,-2.2431345805232152,Aluminium dioxide/PEEK
5.4108924247880825,-2.2163090583454848,Aluminium dioxide/PEEK
12.55489426029824,-2.565877390087828,Aluminium dioxide/PEEK
13.06115471355283,-2.596195429139704,Aluminium dioxide/PEEK
18.51040487020907,-2.6988097537746145,Aluminium dioxide/PEEK
4.983875936404731,-0.4568064872667321,Mineral oil/PEEK
5.4108924247880825,1.634937094001499,Mineral oil/PEEK
12.55489426029824,97.07533318460645,Mineral oil/PEEK
13.06115471355283,51.8195574201846,Mineral oil/PEEK
18.51040487020907,185.27160473895756,Mineral oil/PEEK
4.983875936404731,6.046155444396751,zinc oxide/PEEK
5.4108924247880825,6.497835233831452,zinc oxide/PEEK
12.55489426029824,53.72933289285784,zinc oxide/PEEK
13.06115471355283,42.45358400204908,zinc oxide/PEEK
18.51040487020907,508.5021684249988,zinc oxide/PEEK
