vol%,Crystallinity (%)
5.195544159832945,7.463003734260117,Acetylene black/XNBR
14.02111195163188,7.2539903269566235,Acetylene black/XNBR
14.373691166840636,7.251807564415126,Acetylene black/XNBR
5.195544159832945,1.2633286365836207,Fe2O3/XNBR
14.02111195163188,1.1077703668126402,Fe2O3/XNBR
14.373691166840636,1.1059638296705105,Fe2O3/XNBR
5.195544159832945,9.142535803845533,aluminum/XNBR
14.02111195163188,6.851159549244025,aluminum/XNBR
14.373691166840636,18.463448494337392,aluminum/XNBR
5.195544159832945,2.7545678904099873,Lead(II) sulfide/XNBR
14.02111195163188,28.428582153642843,Lead(II) sulfide/XNBR
14.373691166840636,62.828261916032154,Lead(II) sulfide/XNBR
5.195544159832945,1.1063925847060858,Graphite/XNBR
14.02111195163188,0.8975965310558673,Graphite/XNBR
14.373691166840636,0.8942392855702365,Graphite/XNBR
