Particle Density,Bet Surface Area
3.3876543522188696,1.9493855685202646,
8.629093219658753,1.6137982410505374,
9.199887926001756,1.5561002433205213,
13.918104657000876,1.4131228910297686,
16.85838838363945,1.3595969336034768,
2.434285568439354,1.5323682024002714,
3.350198189418243,1.7951532779140518,
10.768638853464124,3.57054575662795,
13.99268956900694,4.7015216454888,
19.571953273215577,10.868712298901185,
0,1.1078689651534146,
12,0.04897165616812841,
14,0.03310921879650145,
17,0.024844272137089177,
18,0.02311173130525429,
