Neutron Flux (n/cm²/s),Shear Strength (MPa)
9.314221926549695,7.891491422757506,0.63% MoS2
14.294920761520494,7.74264025996516,0.63% MoS2
18.64507251168028,7.633880525163435,0.63% MoS2
9.314221926549695,0.876569784420397,0.61% MoS2
14.294920761520494,0.7594607059555878,0.61% MoS2
18.64507251168028,0.6886589460883287,0.61% MoS2
9.314221926549695,1.8582655600018188,0.1% MoS2
14.294920761520494,7.438677077622561,0.1% MoS2
18.64507251168028,-12.757255836311522,0.1% MoS2
9.314221926549695,5.58132753442992,0.72% MoS2
14.294920761520494,6.420141422811366,0.72% MoS2
18.64507251168028,0.07529202065698382,0.72% MoS2
