Coefficient Of Thermal Expansion (1/K),Porosity (%)
1.9446595717088844,2.530874994785484,MWCNT/DGEBD Epoxy Resin
4.542978414991299,3.748003760501807,MWCNT/DGEBD Epoxy Resin
14.11035336694624,39.483955525400255,MWCNT/DGEBD Epoxy Resin
1.9446595717088844,9.527658978250518,silver hexafluoroantimonate/DGEBD Epoxy Resin
4.542978414991299,11.595362963390311,silver hexafluoroantimonate/DGEBD Epoxy Resin
14.11035336694624,-11.019913943473576,silver hexafluoroantimonate/DGEBD Epoxy Resin
1.9446595717088844,1.1504606993341104,TiNT/DGEBD Epoxy Resin
4.542978414991299,0.810630882808425,TiNT/DGEBD Epoxy Resin
14.11035336694624,0.5558812741745331,TiNT/DGEBD Epoxy Resin
1.9446595717088844,-3.452959928921761,dodecylbenzene sulfonic acid/DGEBD Epoxy Resin
4.542978414991299,-2.2529410768759486,dodecylbenzene sulfonic acid/DGEBD Epoxy Resin
14.11035336694624,183.46252635211718,dodecylbenzene sulfonic acid/DGEBD Epoxy Resin
1.9446595717088844,-5.780757669408558,Colloidal silica/DGEBD Epoxy Resin
4.542978414991299,-5.598212751149296,Colloidal silica/DGEBD Epoxy Resin
14.11035336694624,-6.057803813175644,Colloidal silica/DGEBD Epoxy Resin
