Pore Size (nm),Ionic Conductivity (S/m)
0.4414640541234194,9.102149339299945,Poly(acrylamide)
3.2062469106703317,8.39359446284816,Poly(acrylamide)
7.715229925346687,8.982224448828793,Poly(acrylamide)
13.233827366802739,9.835172665239373,Poly(acrylamide)
0.4414640541234194,-1.0589124464613069,Poly(acrylic acid)
3.2062469106703317,-1.4755285230712905,Poly(acrylic acid)
7.715229925346687,-1.7943480630906656,Poly(acrylic acid)
13.233827366802739,-1.899229993972674,Poly(acrylic acid)
0.4414640541234194,-2.2879433245655703,PMS
3.2062469106703317,-2.826602187857141,PMS
7.715229925346687,-3.0010352740166293,PMS
13.233827366802739,-3.0816684952612174,PMS
0.4414640541234194,-6.4628341894782935,Nylon 6-6
3.2062469106703317,-4.476573827352867,Nylon 6-6
7.715229925346687,2.6802268846565713,Nylon 6-6
13.233827366802739,31.574467045109408,Nylon 6-6
0.4414640541234194,5.432290964861642,Poly(2-hydroxyethyl methacrylate)
3.2062469106703317,4.900821558761902,Poly(2-hydroxyethyl methacrylate)
7.715229925346687,4.526646580709543,Poly(2-hydroxyethyl methacrylate)
13.233827366802739,4.447606714531888,Poly(2-hydroxyethyl methacrylate)
