Storage Time (days),Reduction Potential (V)
1.2576710285777226,-5.633646475846957,0.1% Graphite
1.87072841404057,-5.79031932451816,0.1% Graphite
12.372085949093645,-6.420079704930712,0.1% Graphite
12.493617157837404,-6.419916570162135,0.1% Graphite
13.754661599554503,-6.42931152690917,0.1% Graphite
1.2576710285777226,-1.9218814559863429,0.23% Graphite
1.87072841404057,-2.146512259229839,0.23% Graphite
12.372085949093645,-2.496653378350288,0.23% Graphite
12.493617157837404,-2.4979453163411507,0.23% Graphite
13.754661599554503,-2.5079796522560813,0.23% Graphite
1.2576710285777226,5.000374854505621,0.08% Graphite
1.87072841404057,5.72262444396583,0.08% Graphite
12.372085949093645,52.41573510811468,0.08% Graphite
12.493617157837404,-15.23885185210691,0.08% Graphite
13.754661599554503,52.68034095052777,0.08% Graphite
1.2576710285777226,-4.582581555087694,0.58% Graphite
1.87072841404057,-4.275867111144853,0.58% Graphite
12.372085949093645,34.816942777577836,0.58% Graphite
12.493617157837404,44.46863663834766,0.58% Graphite
13.754661599554503,39.62959869094307,0.58% Graphite
1.2576710285777226,2.5133224332685873,0.55% Graphite
1.87072841404057,2.4183571616740327,0.55% Graphite
12.372085949093645,74.73053034317027,0.55% Graphite
12.493617157837404,16.699536771313298,0.55% Graphite
13.754661599554503,37.34434667043826,0.55% Graphite
