Frequency (Hz),Charge Transfer Resistance (Ω·m²)
2,6.096280226071702,
8,17.490553085368152,
11,15.583635387304184,
12,86.06587513012157,
2,-3.126051591335125,
8,17.5007234192607,
11,44.04598017212812,
12,81.147552773344,
2,4.195928314375321,
8,4.053289768153464,
11,3.8997154659949462,
12,3.8926524562442677,
2,4.02729108508775,
8,17.564913084634373,
11,15.740800347078425,
12,24.429786650461676,
2,-1.4545227554509514,
8,6.496743997786293,
11,13.112430149436465,
12,77.82079474913355,
