Nanoparticle Mass (%),Surface Area (m²/g)
0.5848097376839911,1.4857541092366169,Sodium polyacrylate
11.112000548494516,56.49927207022767,Sodium polyacrylate
17.50794892083674,225.138825134764,Sodium polyacrylate
18.33823869391544,175.24968420905353,Sodium polyacrylate
18.791638713119127,493.47654374908353,Sodium polyacrylate
0.5848097376839911,3.5623554261861328,PAM
11.112000548494516,2.6480251125428182,PAM
17.50794892083674,2.478216555156633,PAM
18.33823869391544,2.46092880437272,PAM
18.791638713119127,2.459517223347942,PAM
0.5848097376839911,-4.873378867931536,PTFCE
11.112000548494516,-5.571484430136147,PTFCE
17.50794892083674,-5.758182889734727,PTFCE
18.33823869391544,-5.760324318667207,PTFCE
18.791638713119127,-5.767886775209639,PTFCE
0.5848097376839911,-4.48114347103879,SAN
11.112000548494516,-2.206455252560865,SAN
17.50794892083674,-11.266951431532465,SAN
18.33823869391544,-6.703192829299459,SAN
18.791638713119127,2.7145438990120834,SAN
