Glass Transition Temperature (°C),Flexural Strength (MPa)
0.05626515588175174,2.065341000718295,0.36% Silver hexafluoroantimonate
5.050527342719036,2.4217826120237884,0.36% Silver hexafluoroantimonate
11.47042583066392,5.7064291891735435,0.36% Silver hexafluoroantimonate
12.107856521279714,4.447486034728197,0.36% Silver hexafluoroantimonate
12.996575300800266,2.8569053946394996,0.36% Silver hexafluoroantimonate
0.05626515588175174,5.78399575890953,0.83% Silver hexafluoroantimonate
5.050527342719036,5.1898488543491625,0.83% Silver hexafluoroantimonate
11.47042583066392,4.979410315345804,0.83% Silver hexafluoroantimonate
12.107856521279714,4.9744868073883195,0.83% Silver hexafluoroantimonate
12.996575300800266,4.967787383338154,0.83% Silver hexafluoroantimonate
0.05626515588175174,0.3208179831373972,0.52% Silver hexafluoroantimonate
5.050527342719036,1.922378833361459,0.52% Silver hexafluoroantimonate
11.47042583066392,36.175986407202664,0.52% Silver hexafluoroantimonate
12.107856521279714,52.7841475657213,0.52% Silver hexafluoroantimonate
12.996575300800266,75.08705847053443,0.52% Silver hexafluoroantimonate
0.05626515588175174,6.96043428319385,0.14% Silver hexafluoroantimonate
5.050527342719036,6.667583150197487,0.14% Silver hexafluoroantimonate
11.47042583066392,6.371465809144349,0.14% Silver hexafluoroantimonate
12.107856521279714,6.346350792379974,0.14% Silver hexafluoroantimonate
12.996575300800266,6.315292441399776,0.14% Silver hexafluoroantimonate
