Frequency (Hz),Pore Size (nm)
0,-0.75331322870997,0.7% silicon dioxide/Silicone rubber
1,-1.0590719877103236,0.7% silicon dioxide/Silicone rubber
2,-0.8009036254336136,0.7% silicon dioxide/Silicone rubber
11,-1.2674497921967882,0.7% silicon dioxide/Silicone rubber
15,-1.35889097748377,0.7% silicon dioxide/Silicone rubber
18,-1.4028390610557393,0.7% silicon dioxide/Silicone rubber
0,5.9710892647046565,0.47% silicon dioxide/Silicone rubber
1,6.17534973533572,0.47% silicon dioxide/Silicone rubber
2,5.701897417287207,0.47% silicon dioxide/Silicone rubber
11,5.422917571681943,0.47% silicon dioxide/Silicone rubber
15,5.293235778576164,0.47% silicon dioxide/Silicone rubber
18,5.227645463197608,0.47% silicon dioxide/Silicone rubber
0,-1.3729354512967338,0.65% silicon dioxide/Silicone rubber
1,-1.113350347662824,0.65% silicon dioxide/Silicone rubber
2,-1.0997587597446232,0.65% silicon dioxide/Silicone rubber
11,0.6635349164744628,0.65% silicon dioxide/Silicone rubber
15,4.7943742511769365,0.65% silicon dioxide/Silicone rubber
18,-4.89453908046682,0.65% silicon dioxide/Silicone rubber
0,-2.9013416699311394,0.5% silicon dioxide/Silicone rubber
1,-3.1718263887365254,0.5% silicon dioxide/Silicone rubber
2,-3.4303402347541674,0.5% silicon dioxide/Silicone rubber
11,-3.7133002693154076,0.5% silicon dioxide/Silicone rubber
15,-3.843542157945374,0.5% silicon dioxide/Silicone rubber
18,-3.9048022807765084,0.5% silicon dioxide/Silicone rubber
