Heat Treatment Temperature (°C),Dynamic Viscosity (Pa·s)
1,4.339722493435752,
11,3.9590900919578864,
15,3.8103947564126677,
18,3.75100782642509,
1,-5.409787953311789,
11,-6.343553925864439,
15,-6.914965143281617,
18,-1.8282908878295006,
1,-1.4700751320122138,
11,44.834665882909015,
15,124.06797523915337,
18,414.3247678682599,
1,3.8533131108596432,
11,3.221275126203638,
15,3.1068380040418613,
18,3.0467396241209905,
1,8.393946890688945,
11,8.041461837224954,
15,7.898198643712581,
18,7.854343530007544,
