Incubation Temperature (°C),Thermal Resistance (K/W)
0,-2.877932166134211,
4,-0.697162752400966,
8,11.665232783716434,
14,112.54374515695474,
15,64.88058742516395,
0,-5.613210019023131,
4,-5.590006857105488,
8,-6.014248554980062,
14,-6.191089489524512,
15,-6.202058109072365,
0,3.30806243830627,
4,4.444545054368628,
8,16.803917376992644,
14,46.880860534894566,
15,40.30083804674386,
0,5.05642391094009,
4,5.124996667926847,
8,5.095151700647796,
14,7.992157280143789,
15,7.526000253142527,
0,2.500395287190213,
4,1.841267054874057,
8,1.5799509050527265,
14,1.5025153490637213,
15,1.4991178617840695,
