Particle Diameter (nm),Polarization Resistance (Ω·m²)
2.64907903123194,-1.092920224851326,sodium montmorillonite/PA 66
3.9309550022406614,-2.219113669000104,sodium montmorillonite/PA 66
6.23583144108798,2.204898366643685,sodium montmorillonite/PA 66
8.620713421719799,8.590868867368835,sodium montmorillonite/PA 66
18.487418525231327,33.73085868580037,sodium montmorillonite/PA 66
2.64907903123194,-3.297782822229673,magnesium oxide/PA 66
3.9309550022406614,-3.4884247911208788,magnesium oxide/PA 66
6.23583144108798,-3.6352730140834604,magnesium oxide/PA 66
8.620713421719799,-3.6692074015933778,magnesium oxide/PA 66
18.487418525231327,-3.7467693241812583,magnesium oxide/PA 66
2.64907903123194,-2.0030891792756833,expanded graphite/PA 66
3.9309550022406614,-2.481504524753436,expanded graphite/PA 66
6.23583144108798,-2.46267679015432,expanded graphite/PA 66
8.620713421719799,-2.756805835252189,expanded graphite/PA 66
18.487418525231327,-2.9095292255028267,expanded graphite/PA 66
