Curing Temperature (°C),Galvanic Potential (V)
2.9973663031923947,3.9645303573888873,0.76% CaCO3
12.288132304915358,28.75598204998275,0.76% CaCO3
12.483112438786124,46.15673895039384,0.76% CaCO3
12.653639508003199,18.440769550333652,0.76% CaCO3
14.592810941526519,54.77399727498046,0.76% CaCO3
18.849415973801268,917.2034594083212,0.76% CaCO3
2.9973663031923947,4.540466543720295,0.91% CaCO3
12.288132304915358,22.28136185527409,0.91% CaCO3
12.483112438786124,24.985736592000364,0.91% CaCO3
12.653639508003199,40.577410645141164,0.91% CaCO3
14.592810941526519,17.639029639729458,0.91% CaCO3
18.849415973801268,304.64478037764366,0.91% CaCO3
2.9973663031923947,0.12047970295739074,0.75% CaCO3
12.288132304915358,3.3673382910919862,0.75% CaCO3
12.483112438786124,-0.7685224316137438,0.75% CaCO3
12.653639508003199,-0.007425295971177803,0.75% CaCO3
14.592810941526519,4.088850624615642,0.75% CaCO3
18.849415973801268,4.544911208305684,0.75% CaCO3
2.9973663031923947,1.5359340342971013,0.7% CaCO3
12.288132304915358,1.083950361292017,0.7% CaCO3
12.483112438786124,1.0791102832990203,0.7% CaCO3
12.653639508003199,1.0805868722291536,0.7% CaCO3
14.592810941526519,1.0701757073186813,0.7% CaCO3
18.849415973801268,1.060983854528417,0.7% CaCO3
