Specific Heat Capacity (J/(g·K)),Loss Factor
0.5408378089415522,4.666351126985619,
4.437091775273753,5.6258952478339985,
6.620220293637615,4.999517415802099,
0.5408378089415522,5.381792574692723,
4.437091775273753,4.801509632855984,
6.620220293637615,4.684937266171423,
0.5408378089415522,-1.4363412907082829,
4.437091775273753,2.445289865970768,
6.620220293637615,3.893338609237901,
0.5408378089415522,1.1736514203343373,
4.437091775273753,0.9076857980368952,
6.620220293637615,0.7299166909340059,
0.5408378089415522,-2.65003157123575,
4.437091775273753,-3.21869676695382,
6.620220293637615,-3.4119643432273046,
